measure,location,sex,age,cause,metric,year,val,upper,lower
Incidence,Afghanistan,Both,All Ages,All causes,Number,2017,206015891,220336926.5,192409161.7
Incidence,Afghanistan,Both,All Ages,All causes,Percent,2017,1,1,1
Incidence,Afghanistan,Both,All Ages,All causes,Rate,2017,627050.2347,670639.1476,585635.4547
Incidence,Albania,Both,All Ages,All causes,Number,2017,12294127.7,13001096.37,11621475.8
Incidence,Albania,Both,All Ages,All causes,Percent,2017,1,1,1
Incidence,Albania,Both,All Ages,All causes,Rate,2017,444447.2048,470004.9553,420130.046
Incidence,Algeria,Both,All Ages,All causes,Number,2017,202766929.4,215170623.9,190355241.8
Incidence,Algeria,Both,All Ages,All causes,Percent,2017,1,1,1
Incidence,Algeria,Both,All Ages,All causes,Rate,2017,501108.2496,531762.1319,470434.6133
Incidence,American Samoa,Both,All Ages,All causes,Number,2017,312014.8249,331887.2006,293353.3144
Incidence,American Samoa,Both,All Ages,All causes,Percent,2017,1,1,1
Incidence,American Samoa,Both,All Ages,All causes,Rate,2017,560867.3254,596589.2376,527322.0236
Incidence,Andorra,Both,All Ages,All causes,Number,2017,385003.4158,415643.2075,358604.4315
Incidence,Andorra,Both,All Ages,All causes,Percent,2017,1,1,1
Incidence,Andorra,Both,All Ages,All causes,Rate,2017,481458.8803,519774.9036,448446.1201
Incidence,Angola,Both,All Ages,All causes,Number,2017,198767270,212939779.9,185332936.1
Incidence,Angola,Both,All Ages,All causes,Percent,2017,1,1,1
Incidence,Angola,Both,All Ages,All causes,Rate,2017,704791.0262,755044.057,657155.427
Incidence,Antigua and Barbuda,Both,All Ages,All causes,Number,2017,443362.648,471197.8643,418116.3945
Incidence,Antigua and Barbuda,Both,All Ages,All causes,Percent,2017,1,1,1
Incidence,Antigua and Barbuda,Both,All Ages,All causes,Rate,2017,498399.1011,529689.6189,470018.925
Incidence,Argentina,Both,All Ages,All causes,Number,2017,208295116.8,220745487.8,194769854.7
Incidence,Argentina,Both,All Ages,All causes,Percent,2017,1,1,1
Incidence,Argentina,Both,All Ages,All causes,Rate,2017,470554.2493,498680.5689,439999.6707
Incidence,Armenia,Both,All Ages,All causes,Number,2017,12988569.37,13809131.48,12247079.57
Incidence,Armenia,Both,All Ages,All causes,Percent,2017,1,1,1
Incidence,Armenia,Both,All Ages,All causes,Rate,2017,429057.6941,456163.7192,404563.703
Incidence,Australia,Both,All Ages,All causes,Number,2017,107704306.2,115793298.7,101022902.8
Incidence,Australia,Both,All Ages,All causes,Percent,2017,1,1,1
Incidence,Australia,Both,All Ages,All causes,Rate,2017,449834.7714,483619.0297,421929.4102
Incidence,Austria,Both,All Ages,All causes,Number,2017,43754122.37,46765468.74,40986450.17
Incidence,Austria,Both,All Ages,All causes,Percent,2017,1,1,1
Incidence,Austria,Both,All Ages,All causes,Rate,2017,497594.6574,531841.256,466119.2483
Incidence,Azerbaijan,Both,All Ages,All causes,Number,2017,38769552.17,40726308.42,36815184.61
Incidence,Azerbaijan,Both,All Ages,All causes,Percent,2017,1,1,1
Incidence,Azerbaijan,Both,All Ages,All causes,Rate,2017,379163.5616,398300.5035,360049.9808
Incidence,Bahamas,Both,All Ages,All causes,Number,2017,1862558.279,1979573.867,1755066.051
Incidence,Bahamas,Both,All Ages,All causes,Percent,2017,1,1,1
Incidence,Bahamas,Both,All Ages,All causes,Rate,2017,496099.4194,527266.9624,467468.4592
Incidence,Bahrain,Both,All Ages,All causes,Number,2017,7078595.788,7582336.985,6612818.242
Incidence,Bahrain,Both,All Ages,All causes,Percent,2017,1,1,1
Incidence,Bahrain,Both,All Ages,All causes,Rate,2017,481415.0691,515674.4915,449737.5534
Incidence,Bangladesh,Both,All Ages,All causes,Number,2017,902974669.3,961645629,849362017
Incidence,Bangladesh,Both,All Ages,All causes,Percent,2017,1,1,1
Incidence,Bangladesh,Both,All Ages,All causes,Rate,2017,575212.7055,612587.2661,541060.3867
Incidence,Barbados,Both,All Ages,All causes,Number,2017,1451704.045,1530797.219,1375264.002
Incidence,Barbados,Both,All Ages,All causes,Percent,2017,1,1,1
Incidence,Barbados,Both,All Ages,All causes,Rate,2017,490633.1266,517364.2852,464798.6477
Incidence,Belarus,Both,All Ages,All causes,Number,2017,41389994.6,43941369.65,39222719.49
Incidence,Belarus,Both,All Ages,All causes,Percent,2017,1,1,1
