country,total,curriculum_laws,family_planning,sex_edu,hiv_rate,pregnancy_rate,contracept_prev,youth_hiv,matern_mort,total_life_exp,female_life_exp,percent_urban_pop,med_age,human_devel_index,democ,autoc,polity,inequality_coef,youth_depend_ratio,gend_ineq_index,phc_expend,gov_expend,gdp_capita,reprod_health_expend,family_plann_expend,state_frag_index,pop_count,youth_literacy_rate,poverty_rate,school_enroll_girls,income_group,region
Afghanistan,54,0,37,0,627050.2347,62.0,22.5,500,638,65.173,66.744,25.5,18.4,0.496,1,2,-1,28.2,79.3,0.575,57.147460939999995,25.87815857,569.93763031999993,591.98400000000004,6.2760000000000007,20,38041754,65.4205474853516,NA,39.9984016418457,Low income,Eastern Mediterranean
Albania,82,100,85,100,444447.2048,15.9,46,100,15,78.67178048780488,80.256,60.3,36.4,0.791,9,0,9,10.9,25.8,0.234,NA,29.140838619999993,4444.4692027699994,NA,NA,1,2854191,99.3300018310547,8.2,95.7046508789063,Upper middle income,Europe
Angola,66,0,100,0,704791.0262,163.0,13.7,9000,241,61.487,64.383,65.5,16.7,0.574,2,4,-2,31.7,91.8,0.578,NA,23.798482889999999,4100.2916958599999,NA,NA,16,31825295,77.4311294555664,73.2,NA,Lower middle income,Africa
Antigua and Barbuda,NA,0,33,0,498399.1011,27.7,NA,NA,42,77.146,78.232,24.6,34,0.776,NA,NA,NA,NA,31.9,NA,NA,22.496335980000005,14863.901269420001,NA,NA,NA,97118,NA,NA,109.070098876953,High income,Americas
Armenia,87,100,93,100,429057.6941,21.2,57.1,100,26,75.224,78.652,63.1,35.4,0.76,7,0,7,9.7,30.3,0.259,48.018951419999993,26.026630400000005,3933.6818387099993,11321.18,NA,6,2957731,99.8470230102539,8.1,84.8003768920898,Upper middle income,Europe
Australia,NA,0,93,0,449834.7714,10.1,66.9,100,6,83.5479512195122,85.524,86,37.9,0.938,10,0,10,7.9,29.5,0.103,37.971355439999996,35.646255489999994,57917.09709042,NA,NA,2,25364307,NA,NA,128.636001586914,High income,Western Pacific
Bangladesh,NA,100,0,94,575212.7055,74.0,62.3,NA,173,72.868,74.893,36.6,27.6,0.614,0,6,-6,23.6,41.3,0.536,NA,12.678335190000002,1595.3549202200002,NA,NA,11,163046161,93.2964401245117,52.5,78.2707290649414,Lower middle income,South-East Asia
Barbados,44,0,20,0,490633.1266,49.7,59.2,100,27,79.308,80.579,31.1,40.5,0.813,NA,NA,NA,16,25.9,0.256,63.706989290000003,32.999298099999997,17462.961861129996,NA,NA,NA,287025,99.9000015258789,NA,105.752891540527,High income,Americas
Belarus,87,100,100,100,436095.4776,14.2,72.1,200,2,74.64902439024392,79.688,78.6,40.3,0.817,0,7,-7,6.3,24.7,0.119,NA,39.041873930000001,5779.8222908000007,NA,NA,5,9466856,99.8499984741211,0,101.690742492676,Upper middle income,Europe
Belgium,NA,100,100,100,488710.0915,5.9,66.8,NA,5,81.70673170731709,84.007,98,41.9,0.919,8,0,8,7.6,26.6,0.045,39.031116489999995,52.13076018999999,43597.061799449999,NA,NA,2,11484055,NA,0.2,165.281265258789,High income,Europe
Belize,42,0,0,50,501902.1311,64.3,51.4,NA,36,74.754,77.991,45.7,25.5,0.72,NA,NA,NA,21.6,46.6,0.391,NA,34.899330139999996,4970.8952415500007,NA,NA,NA,390353,NA,NA,87.1159133911133,Upper middle income,Americas
Benin,91,100,77,100,557419.8069,108.0,15.5,1100,397,62.077,63.646,47.3,18.8,0.52,7,0,7,36.9,78.2,0.613,NA,24.370622630000007,827.37034086999995,11124.576999999999,201.03200000000001,10,11801151,60.9480781555176,76.3,NA,Low income,Africa
Botswana,NA,100,93,94,541408.5187,50.0,52.8,3200,144,69.793,72.604,69.4,24,0.728,8,0,8,NA,55.3,0.464,32.904975889999996,32.422180180000005,7595.144753739999,845.1,18.811,3,2303697,97.4562911987305,36.5,NA,Upper middle income,Africa
Burkina Faso,72,100,52,75,623880.1328,132.3,31.7,1000,320,61.981,62.724,29.4,17.6,0.434,7,1,6,29.5,85.4,0.612,82.53161621000001,29.969001770000006,642.12736760999996,48486.12,500,16,20321378,58.2900009155273,NA,40.7299995422363,Low income,Africa
