country,total,curriculum_laws,family_planning,sex_edu,hiv_rate,pregnancy_rate,contracept_prev,youth_hiv,matern_mort,total_life_exp,female_life_exp,percent_urban_pop,med_age,human_devel_index,democ,autoc,polity,inequality_coef,youth_depend_ratio,gend_ineq_index,phc_expend,gov_expend,gdp_capita,reprod_health_expend,family_plann_expend,state_frag_index,region,pop_count,youth_literacy_rate,poverty_rate,school_enroll_girls,income_group,region_name
Afghanistan,54,0,37,0,627050.2347,62,22.5,500,638,65.173,66.744,25.5,18.4,0.496,1,2,-1,28.2,79.3,0.575,57.147460939999995,25.87815857,569.9376303199999,591.984,6.276000000000001,20,2,38041754,65.4205474853516,NA,39.9984016418457,Low income,Eastern Mediterranean
Albania,82,100,85,100,444447.2048,15.9,46,100,15,78.67178048780488,80.256,60.3,36.4,0.791,9,0,9,10.9,25.8,0.234,NA,29.140838619999993,4444.469202769999,NA,NA,1,2,2854191,99.3300018310547,8.2,95.7046508789063,Upper middle income,Europe
Angola,66,0,100,0,704791.0262,163,13.7,9000,241,61.487,64.383,65.5,16.7,0.574,2,4,-2,31.7,91.8,0.578,NA,23.79848289,4100.29169586,NA,NA,16,1,31825295,77.4311294555664,73.2,NA,Lower middle income,Africa
Antigua and Barbuda,NA,0,33,0,498399.1011,27.7,NA,NA,42,77.146,78.232,24.6,34,0.776,NA,NA,NA,NA,31.9,NA,NA,22.496335980000005,14863.901269420001,NA,NA,NA,NA,97118,NA,NA,109.070098876953,High income,Americas
Armenia,87,100,93,100,429057.6941,21.2,57.1,100,26,75.224,78.652,63.1,35.4,0.76,7,0,7,9.7,30.3,0.259,48.01895141999999,26.026630400000005,3933.6818387099993,11321.18,NA,6,5,2957731,99.8470230102539,8.1,84.8003768920898,Upper middle income,Europe
Australia,NA,0,93,0,449834.7714,10.1,66.9,100,6,83.5479512195122,85.524,86,37.9,0.938,10,0,10,7.9,29.5,0.103,37.971355439999996,35.646255489999994,57917.09709042,NA,NA,2,3,25364307,NA,NA,128.636001586914,High income,Western Pacific
Bangladesh,NA,100,0,94,575212.7055,74,62.3,NA,173,72.868,74.893,36.6,27.6,0.614,0,6,-6,23.6,41.3,0.536,NA,12.678335190000002,1595.3549202200002,NA,NA,11,2,163046161,93.2964401245117,52.5,78.2707290649414,Lower middle income,South-East Asia
Barbados,44,0,20,0,490633.1266,49.7,59.2,100,27,79.308,80.579,31.1,40.5,0.813,NA,NA,NA,16,25.9,0.256,63.70698929,32.9992981,17462.961861129996,NA,NA,NA,NA,287025,99.9000015258789,NA,105.752891540527,High income,Americas
Belarus,87,100,100,100,436095.4776,14.2,72.1,200,2,74.64902439024392,79.688,78.6,40.3,0.817,0,7,-7,6.3,24.7,0.119,NA,39.04187393,5779.822290800001,NA,NA,5,5,9466856,99.8499984741211,0,101.690742492676,Upper middle income,Europe
Belgium,NA,100,100,100,488710.0915,5.9,66.8,NA,5,81.70673170731709,84.007,98,41.9,0.919,8,0,8,7.6,26.6,0.045,39.031116489999995,52.13076018999999,43597.06179945,NA,NA,2,6,11484055,NA,0.2,165.281265258789,High income,Europe
Belize,42,0,0,50,501902.1311,64.3,51.4,NA,36,74.754,77.991,45.7,25.5,0.72,NA,NA,NA,21.6,46.6,0.391,NA,34.899330139999996,4970.895241550001,NA,NA,NA,NA,390353,NA,NA,87.1159133911133,Upper middle income,Americas
Benin,91,100,77,100,557419.8069,108,15.5,1100,397,62.077,63.646,47.3,18.8,0.52,7,0,7,36.9,78.2,0.613,NA,24.370622630000007,827.37034087,11124.577,201.032,10,1,11801151,60.9480781555176,76.3,NA,Low income,Africa
Botswana,NA,100,93,94,541408.5187,50,52.8,3200,144,69.793,72.604,69.4,24,0.728,8,0,8,NA,55.3,0.464,32.904975889999996,32.422180180000005,7595.144753739999,845.1,18.811,3,1,2303697,97.4562911987305,36.5,NA,Upper middle income,Africa
Burkina Faso,72,100,52,75,623880.1328,132.3,31.7,1000,320,61.981,62.724,29.4,17.6,0.434,7,1,6,29.5,85.4,0.612,82.53161621000001,29.969001770000006,642.12736761,48486.12,500,16,1,20321378,58.2900009155273,NA,40.7299995422363,Low income,Africa
Burundi,64,0,38,50,534435.3979,58.2,28.5,500,548,61.916,63.721,13,17.3,0.423,2,3,-1,29.6,87.1,0.52,82.04067992999998,21.802604679999995,312.60677268999996,21650.8,3725.197,21,1,11530580,88.2217712402344,NA,51.0896797180176,Low income,Africa
Cambodia,98,100,100,100,489663.8513,57.4,56.3,200,160,70.054,72.163,23.4,25.6,0.581,0,4,-4,19.9,48.6,0.474,69.37968445,23.17571449,1386.6881210499996,200046.6,NA,10,3,16486542,92.2123565673828,NA,NA,Lower middle income,Western Pacific
Cameroon,NA,0,100,0,642422.9319,119,34.4,5400,529,59.626,60.904,56.4,18.7,0.563,1,5,-4,34.1,78,0.566,NA,19.82717896,1451.86567341,NA,NA,16,1,25876380,85.0800018310547,47,NA,Lower middle income,Africa
Central African Republic,77,100,70,94,750449.6452,229,15.2,1700,829,53.679,55.932,41.4,17.6,0.381,7,1,6,41.3,83.8,0.682,NA,14.826711650000002,414.8228652400001,NA,NA,23,1,4745185,38.2686500549316,NA,NA,Low income,Africa
Chad,75,0,100,0,665438.1378,179.4,5.7,1700,1140,54.505,55.945,23.1,16.6,0.401,1,3,-2,37.4,93.5,0.701,NA,15.160080910000001,662.55552177,NA,NA,19,2,15946876,30.7916107177734,66.3,13.8878898620605,Low income,Africa
China,NA,NA,100,NA,414911.0224,9.2,84.5,NA,29,77.12763414634146,79.411,59.2,38.4,0.758,0,7,-7,15.6,25.1,0.163,NA,32.17950058,8557.73781295,NA,NA,7,3,1397715000,99.7835998535156,5.4,NA,Upper middle income,Western Pacific
Colombia,97,100,100,100,573437.6657,61,81,1400,83,77.46,80.173,80.8,31.3,0.761,7,0,7,22.4,33.7,0.411,NA,28.019405360000007,6354.5494002,NA,NA,11,4,50339443,98.8516464233398,11.1,100.091453552246,Upper middle income,Americas
Congo,53,0,92,0,645597.084,111.3,30.1,2500,378,64.804,66.287,66.9,19.2,0.609,0,4,-4,24.9,75.2,0.579,55.19631958,35.12383270000001,1705.7664787399997,33032.683999999994,398.03000000000003,13,1,5380508,82.0547866821289,62.6,NA,Lower middle income,Africa
Costa Rica,62,0,67,0,521663.6415,50.4,77.8,200,27,80.465,83.045,79.3,33.5,0.794,10,0,10,18.8,30.8,0.285,45.31727600000001,20.02203941,11858.39618264,NA,NA,1,4,5047561,99.4300003051758,2.9,137.749526977539,Upper middle income,Americas
Cote d'Ivoire,63,0,100,0,601722.8618,123.3,23.3,2800,617,58.104,59.455,50.8,18.9,0.516,5,1,4,35,76,0.657,77.16128540000001,24.87156296,1566.3306749299998,66650.79000000001,20257.579999999998,16,1,25716544,58.4201507568359,59.1,44.3489303588867,Lower middle income,Africa
Czech Republic,70,100,0,100,465171.664,12.1,86.3,NA,3,79.43760975609757,82.058,73.8,43.2,0.891,9,0,9,4.5,24,0.137,34.60373306,38.94392776000001,20409.98411139,NA,NA,1,5,10669709,99.7858810424805,0.1,102.518440246582,High income,Europe
North Korea,83,100,100,63,459053.5028,1,78.2,NA,89,72.453,75.932,61.9,35.3,NA,0,10,-10,NA,28.7,NA,NA,NA,NA,NA,NA,7,3,25666161,99.999641418457,NA,NA,Low income,South-East Asia
Democratic Republic of the Congo,NA,NA,85,NA,656145.1086,138.1,20.4,6700,473,60.971,62.54,44.5,17,0.459,1,4,-3,30.9,90.8,0.655,58.72632217,11.890402790000003,488.38902397000004,24464.56,984.058,24,1,86790567,84.9895095825195,91.4,NA,Low income,Africa
Denmark,90,100,85,100,494481.341,2.8,NA,NA,4,80.98724390243902,82.972,87.9,42.3,0.93,10,0,10,6,25.8,0.04,37.96641541,51.15774918,57380.20790964,NA,NA,0,6,5818553,NA,0.2,129.7060546875,High income,Europe
Egypt,44,0,37,0,481266.9882,51.8,58.5,1000,37,72.15,74.53,42.7,24.6,0.7,0,4,-4,28.8,55.4,0.45,54.45252608999998,32.189914699999996,2000.2972311199999,NA,NA,10,2,100388073,88.1925582885742,28.9,87.3008804321289,Lower middle income,Eastern Mediterranean
El Salvador,83,100,100,100,554836.026,74,72,200,46,73.533,78.037,72,27.6,0.667,8,0,8,21.6,42,0.397,NA,23.940950389999998,3908.5253297599993,NA,NA,4,4,6453553,97.9737167358398,8.7,71.4232635498047,Lower middle income,Americas
Equatorial Guinea,NA,0,NA,0,668516.3293,176,12.6,1200,301,59.057,60.25,72.1,22.3,0.588,0,6,-6,NA,61.4,NA,NA,19.87998009,9692.337812239999,NA,NA,12,1,1355986,97.967041015625,NA,NA,Upper middle income,Africa
Finland,98,100,100,100,505575.8508,4.9,85.5,NA,3,82.00736585365856,84.848,85.4,43.1,0.925,10,0,10,5.2,26,0.05,46.8001709,54.18862534000001,45680.138545279995,NA,NA,0,6,5520314,NA,0.1,162.63883972168,High income,Europe
Gabon,58,100,22,100,648306.6611,91,31.1,500,252,66.69,68.931,89.4,22.5,0.702,4,1,3,22.5,62.3,0.534,53.66182326999999,18.114084240000004,7353.86334983,34864.95,621.295,8,1,2172579,89.7836608886719,11.2,NA,Upper middle income,Africa
